	Source file	DateTime	Date	Time	Duration(s)	Comments	Si29_CPS	Si29_CPS_Int2SE	Li_ppm_m7	Li_ppm_m7_Int2SE	Mg_ppm_m24	Mg_ppm_m24_Int2SE	Al_ppm_m27	Al_ppm_m27_Int2SE	K_ppm_m39	K_ppm_m39_Int2SE	Ca_ppm_m42	Ca_ppm_m42_Int2SE	Ca_ppm_m43	Ca_ppm_m43_Int2SE	Ti_ppm_m49	Ti_ppm_m49_Int2SE	Mn_ppm_m55	Mn_ppm_m55_Int2SE	Fe_ppm_m57	Fe_ppm_m57_Int2SE	Rb_ppm_m85	Rb_ppm_m85_Int2SE	Sr_ppm_m88	Sr_ppm_m88_Int2SE	Zr_ppm_m90	Zr_ppm_m90_Int2SE	Sn_ppm_m118	Sn_ppm_m118_Int2SE	Ba_ppm_m137	Ba_ppm_m137_Int2SE	La_ppm_m139	La_ppm_m139_Int2SE	Ce_ppm_m140	Ce_ppm_m140_Int2SE	Nd_ppm_m146	Nd_ppm_m146_Int2SE	Hf_ppm_m178	Hf_ppm_m178_Int2SE	Pb_ppm_m208	Pb_ppm_m208_Int2SE	ExtraMetaData	Si29_CPS_LOD	Li_ppm_m7_LOD	Mg_ppm_m24_LOD	Al_ppm_m27_LOD	K_ppm_m39_LOD	Ca_ppm_m42_LOD	Ca_ppm_m43_LOD	Ti_ppm_m49_LOD	Mn_ppm_m55_LOD	Fe_ppm_m57_LOD	Rb_ppm_m85_LOD	Sr_ppm_m88_LOD	Zr_ppm_m90_LOD	Sn_ppm_m118_LOD	Ba_ppm_m137_LOD	La_ppm_m139_LOD	Ce_ppm_m140_LOD	Nd_ppm_m146_LOD	Hf_ppm_m178_LOD	Pb_ppm_m208_LOD
Output_1_8	1302396 149-1 - 8.d	13/09/2019 (6) 12:52:38.00	13/09/2019 (6)	12:52:38.00	35.036	1302396 149-1 - 8.d	7.88E+06	0.28E+06	1.697	0.053	26480	130	4451	22	3457.7	9.3	71170	410	71620	410	132.7	1.5	84.68	0.44	534.3	4.5	10.145	0.085	50.58	0.29	61.66	0.41	4.240	0.083	100.37	0.71	3.770	0.041	6.267	0.055	3.070	0.067	1.628	0.041	14.13	0.15	FILENAME: 1302396 149-1 - 8.csv	0	0.0318	0.070445	0.080806	0.38864	12.161	11.685	0.14356	0.075181	1.1908	0.018834	0.0019206	0.0022596	0.017999	0.011418	0.0011295	0.0010322	0.0034502	0.0021245	0.0033359
Output_1_9	1302396 149-1 - 9.d	13/09/2019 (6) 12:54:07.00	13/09/2019 (6)	12:54:07.00	35.036	1302396 149-1 - 9.d	7.97E+06	0.29E+06	1.699	0.053	26560	130	4484	21	3446	11	71290	420	71610	400	134.5	1.4	84.65	0.39	533.1	4.8	10.133	0.080	50.92	0.34	63.00	0.41	4.445	0.092	100.11	0.69	3.779	0.040	6.316	0.061	3.035	0.075	1.694	0.045	13.89	0.12	FILENAME: 1302396 149-1 - 9.csv	0	0.027404	0.037629	0.098505	0.42263	13.09	11.726	0.16305	0.071621	1.1999	0.023781	0	0.0022358	0.017668	0.0044615	0.001117	0.00088998	0.0047523	0.0017276	0.0026508
Output_1_10	1302396 149-1 - 10.d	13/09/2019 (6) 12:55:41.00	13/09/2019 (6)	12:55:41.00	35.035	1302396 149-1 - 10.d	7.62E+06	0.29E+06	1.754	0.069	27196	85	4512	14	3513	11	71560	290	72060	380	136.3	1.5	85.89	0.49	540.2	5.1	10.227	0.081	51.31	0.25	62.40	0.33	4.318	0.072	101.37	0.58	3.799	0.040	6.339	0.049	3.149	0.071	1.638	0.041	13.60	0.11	FILENAME: 1302396 149-1 - 10.csv	0	0.032108	0.04447	0.083414	0.44443	14.315	13.947	0.13171	0.08689	1.193	0.021856	0.0016832	0.0033173	0.016646	0.0065492	0.0010528	0.0015022	0.002539	0.0033409	0.0023386
Output_1_11	1303121 991-2 - 1.d	13/09/2019 (6) 13:03:38.00	13/09/2019 (6)	13:03:38.00	35.035	1303121 991-2 - 1.d	8.30E+06	0.29E+06	7.64	0.11	18234	74	4872	19	1226.0	4.7	71440	290	71410	320	191.0	1.8	34.55	0.24	860.7	5.6	4.696	0.055	51.92	0.26	44.87	0.26	21.07	0.19	57.07	0.45	1.818	0.029	3.218	0.037	1.406	0.049	1.133	0.033	91.87	0.54	FILENAME: 1303121 991-2 - 1.csv	0	0.027872	0.039053	0.082038	0.42166	10.88	10.338	0.12418	0.078959	0.95078	0.020576	0.0023881	0.0017647	0.016482	0.0059776	0.00069072	0.00049677	0.0032523	0.0020065	0.0033932
Output_1_12	1303121 991-2 - 2.d	13/09/2019 (6) 13:05:23.00	13/09/2019 (6)	13:05:23.00	35.036	1303121 991-2 - 2.d	7.87E+06	0.28E+06	7.49	0.12	17661	86	4928	26	1256.5	4.0	70950	370	70600	410	186.7	1.9	34.31	0.22	828.0	5.7	4.817	0.063	51.10	0.23	39.90	0.20	20.61	0.21	52.93	0.47	1.786	0.027	3.203	0.031	1.390	0.045	0.986	0.031	81.77	0.78	FILENAME: 1303121 991-2 - 2.csv	0	0.027989	0.041606	0.086226	0.45048	13.085	11.618	0.15956	0.087026	1.2162	0.024869	0.0017467	0.0025724	0.014423	0.0098893	0.0013797	0.0010153	0.0033977	0.0017247	0.0039216
Output_1_13	1303121 991-2 - 3.d	13/09/2019 (6) 13:06:52.00	13/09/2019 (6)	13:06:52.00	35.036	1303121 991-2 - 3.d	8.12E+06	0.28E+06	7.44	0.11	17638	61	4949	41	1268.7	4.7	70940	390	70860	430	188.4	1.9	34.03	0.27	829.3	5.9	4.796	0.064	51.44	0.31	39.85	0.35	20.78	0.22	53.54	0.42	1.767	0.030	3.237	0.035	1.435	0.048	1.007	0.030	83.46	0.83	FILENAME: 1303121 991-2 - 3.csv	0	0.028791	0.043406	0.078568	0.43172	14.448	12.224	0.11301	0.0914	1.1054	0.024658	0.0015459	0.0022052	0.015222	0.0094818	0.00070897	0.001404	0.0040554	0.002059	0.0037501
Output_1_14	1303121 991-2 - 4.d	13/09/2019 (6) 13:08:27.08	13/09/2019 (6)	13:08:27.08	28.33	1303121 991-2 - 4.d	8.39E+06	0.29E+06	7.51	0.14	18056	80	4893	25	1226.4	4.4	70740	370	70720	400	191.1	2.3	34.36	0.29	853.7	6.5	4.698	0.073	51.99	0.40	45.24	0.26	20.79	0.20	58.41	0.52	1.795	0.035	3.166	0.043	1.378	0.053	1.158	0.037	88.23	0.50	FILENAME: 1303121 991-2 - 4.csv	0	0.031268	0.046915	0.07248	0.4911	15.258	10.516	0.18702	0.089493	1.1375	0.020783	0.0013753	0.0025786	0.017835	0.011559	0.00087892	0.001127	0.0041336	0.0027338	0.0031183
Output_1_15	1303121 991-2 - 5.d	13/09/2019 (6) 13:09:59.00	13/09/2019 (6)	13:09:59.00	35.036	1303121 991-2 - 5.d	7.98E+06	0.29E+06	7.36	0.12	17470	84	4994	28	1237.2	3.8	71160	350	71500	380	188.1	1.9	34.36	0.26	849.8	5.5	4.786	0.068	51.85	0.26	45.49	0.86	20.46	0.26	55.75	0.57	1.839	0.027	3.211	0.037	1.495	0.050	1.141	0.034	87.90	0.62	FILENAME: 1303121 991-2 - 5.csv	0	0.023407	0.042049	0.075397	0.46855	14.584	11.235	0.1512	0.090631	1.1358	0.025074	0.0015738	0.0022471	0.020142	0.008693	0.0010056	0.00088411	0.0041251	0.0028972	0.0028056
Output_1_16	1303121 991-2 - 6.d	13/09/2019 (6) 13:11:38.00	13/09/2019 (6)	13:11:38.00	35.035	1303121 991-2 - 6.d	7.97E+06	0.33E+06	7.50	0.11	17457	74	4949	22	1235.2	3.9	70380	360	70330	420	191.4	2.0	34.16	0.24	839.4	6.6	4.763	0.056	51.32	0.28	38.82	0.28	20.58	0.19	55.24	0.50	1.807	0.029	3.208	0.034	1.421	0.045	0.999	0.034	88.04	0.52	FILENAME: 1303121 991-2 - 6.csv	0	0.030638	0.045617	0.078035	0.41759	13.644	13.097	0.11736	0.074139	1.0404	0.0242	0.0013738	0.00185	0.014958	0.0075861	0.00051419	0.00072716	0.0041258	0.002666	0.0049634
Output_1_17	1303121 991-2 - 7.d	13/09/2019 (6) 13:13:08.00	13/09/2019 (6)	13:13:08.00	35.036	1303121 991-2 - 7.d	8.76E+06	0.25E+06	7.59	0.11	17861	54	5039	13	1251.9	5.8	71990	230	72270	260	192.4	1.6	34.84	0.21	838.5	5.4	4.799	0.056	52.71	0.24	40.43	0.22	20.41	0.18	54.82	0.42	1.837	0.025	3.307	0.032	1.449	0.056	1.026	0.024	80.80	0.63	FILENAME: 1303121 991-2 - 7.csv	0	0.023266	0.042994	0.061931	0.43143	12.88	11.959	0.10639	0.073122	1.0333	0.020482	0.0024886	0	0.014871	0.0069287	0.00080189	0.00066399	0.0052098	0.0028375	0.0026455
Output_1_18	1303121 991-2 - 8.d	13/09/2019 (6) 13:14:42.00	13/09/2019 (6)	13:14:42.00	35.035	1303121 991-2 - 8.d	8.08E+06	0.28E+06	7.38	0.11	17827	99	4873	22	1257.3	4.3	70880	370	70930	340	190.0	1.9	34.35	0.26	846.2	5.3	4.842	0.052	51.59	0.25	41.83	0.38	21.10	0.18	54.08	0.47	1.794	0.025	3.219	0.039	1.419	0.052	1.071	0.029	84.50	0.88	FILENAME: 1303121 991-2 - 8.csv	0	0.029922	0.044341	0.077472	0.40844	13.379	12.091	0.16095	0.084097	1.1576	0.025589	0.0011153	0.0032932	0.019539	0.0043834	0.0012281	0.00071692	0.0046638	0.0017011	0.0038335
Output_1_19	1303121 991-2 - 9.d	13/09/2019 (6) 13:16:17.00	13/09/2019 (6)	13:16:17.00	35.036	1303121 991-2 - 9.d	7.98E+06	0.27E+06	7.54	0.12	18030	100	4713	16	1251.2	4.9	70680	370	70600	390	187.0	1.8	34.37	0.28	853.3	7.3	4.813	0.062	51.45	0.33	40.13	0.29	21.39	0.19	53.42	0.50	1.757	0.028	3.180	0.036	1.377	0.046	0.998	0.031	81.95	0.60	FILENAME: 1303121 991-2 - 9.csv	0	0.029874	0.042062	0.069219	0.37504	13.674	12.976	0.13375	0.081427	1.132	0.022408	0.0017394	0.0028518	0.014893	0.010431	0.0014855	0.00087857	0.0033738	0.0020854	0.0040088
Output_1_20	1303121 991-2 - 10.d	13/09/2019 (6) 13:17:54.00	13/09/2019 (6)	13:17:54.00	35.036	1303121 991-2 - 10.d	8.18E+06	0.28E+06	7.45	0.11	17656	93	4942	23	1264.8	5.1	70970	340	70880	330	190.1	2.1	34.42	0.27	844.7	7.3	4.918	0.062	51.68	0.27	42.82	0.60	21.12	0.22	54.82	0.54	1.816	0.025	3.208	0.035	1.382	0.054	1.055	0.030	84.89	0.47	FILENAME: 1303121 991-2 - 10.csv	0	0.030355	0.045387	0.073101	0.34256	16.218	10.469	0.12203	0.087287	0.96305	0.020417	0.0018456	0.0021893	0.016724	0.0084378	0.00085252	0.00070495	0.0050905	0.0011921	0.0047294
Output_1_21	1302836 179-4 - 1.d	13/09/2019 (6) 13:25:47.00	13/09/2019 (6)	13:25:47.00	35.036	1302836 179-4 - 1.d	7.74E+06	0.29E+06	7.23	0.11	8886	48	9018	50	9160	27	76420	520	76220	540	317.7	2.7	41.02	0.26	708.3	5.7	23.46	0.14	69.35	0.44	38.06	0.33	2.280	0.066	262.7	1.8	3.019	0.034	5.338	0.061	2.308	0.057	1.109	0.028	6.922	0.069	FILENAME: 1302836 179-4 - 1.csv	0	0.026389	0.042577	0.066194	0.44399	12.39	12.015	0.14944	0.086862	1.3246	0.026978	0.0016148	0.0019035	0.017481	0.011804	0.00089922	0.00074222	0.0042174	0.002146	0.003274
Output_1_22	1302836 179-4 - 2.d	13/09/2019 (6) 13:27:26.00	13/09/2019 (6)	13:27:26.00	35.036	1302836 179-4 - 2.d	7.58E+06	0.27E+06	7.14	0.11	9182	33	8966	49	9243	23	75970	490	75800	520	288.6	3.2	39.77	0.32	694.1	6.2	23.91	0.14	67.42	0.51	35.30	0.34	3.47	0.13	256.5	2.0	2.969	0.035	5.176	0.056	2.243	0.073	1.016	0.032	7.30	0.10	FILENAME: 1302836 179-4 - 2.csv	0	0.025786	0.04751	0.073864	0.45171	13.172	12.701	0.1489	0.08789	0.9823	0.01949	0.0018126	0.0013716	0.017769	0.0064547	0.00090946	0.00075046	0.0054243	0.0024875	0.0024275
Output_1_23	1302836 179-4 - 3.d	13/09/2019 (6) 13:29:00.00	13/09/2019 (6)	13:29:00.00	35.036	1302836 179-4 - 3.d	7.41E+06	0.28E+06	7.19	0.11	8925	48	9026	45	9154	22	76430	440	76470	490	312.7	3.0	40.80	0.30	700.8	5.8	23.34	0.17	69.36	0.42	42.32	0.26	2.585	0.066	262.7	1.5	3.017	0.039	5.310	0.052	2.277	0.068	1.212	0.037	6.830	0.083	FILENAME: 1302836 179-4 - 3.csv	0	0.029087	0.060968	0.079851	0.4432	14.606	11.332	0.14861	0.089245	1.2002	0.029427	0.0022472	0.0039204	0.020918	0.0093229	0.00055219	0.0012025	0.00442	0.0022494	0.0028338
Output_1_24	1302836 179-4 - 4.d	13/09/2019 (6) 13:30:38.00	13/09/2019 (6)	13:30:38.00	35.036	1302836 179-4 - 4.d	7.63E+06	0.28E+06	7.19	0.12	8888	45	9010	48	9130	23	76550	420	76240	430	311.4	2.7	41.06	0.31	701.0	6.0	23.32	0.15	69.04	0.40	41.15	0.31	2.484	0.074	259.4	1.5	3.046	0.040	5.320	0.051	2.270	0.067	1.174	0.031	6.962	0.076	FILENAME: 1302836 179-4 - 4.csv	0	0.032302	0.044929	0.080363	0.43464	14.813	12.074	0.13361	0.078935	1.1789	0.024188	0.0011768	0.0013774	0.019846	0.0064777	0.0010462	0.0013922	0.0035198	0.0012758	0.0036775
Output_1_25	1302836 179-4 - 5.d	13/09/2019 (6) 13:32:08.00	13/09/2019 (6)	13:32:08.00	35.036	1302836 179-4 - 5.d	7.96E+06	0.27E+06	7.124	0.084	8859	41	9032	45	9094	24	77230	360	76980	440	320.7	2.4	41.03	0.28	699.4	4.5	23.18	0.15	69.99	0.38	40.11	0.30	2.171	0.055	262.8	1.4	3.023	0.029	5.438	0.050	2.307	0.055	1.134	0.033	7.187	0.069	FILENAME: 1302836 179-4 - 5.csv	0	0.027976	0.042151	0.086127	0.44499	13.349	9.863	0.13813	0.079539	1.2167	0.024397	0.0019037	0.0018614	0.017603	0.0062325	0.0011171	0.00051576	0.0024118	0.0024018	0.0029694
Output_1_26	1302836 179-4 - 6.d	13/09/2019 (6) 13:33:42.00	13/09/2019 (6)	13:33:42.00	35.035	1302836 179-4 - 6.d	7.55E+06	0.26E+06	7.193	0.092	8837	51	9006	50	9136	22	76790	490	76280	510	314.4	2.1	40.70	0.29	704.3	5.3	23.34	0.15	69.04	0.46	40.77	0.32	2.249	0.061	258.4	1.8	2.994	0.036	5.318	0.043	2.250	0.063	1.129	0.028	7.021	0.086	FILENAME: 1302836 179-4 - 6.csv	0	0.03121	0.040725	0.074797	3.1307	14.932	12.497	0.18081	0.0937	1.1208	0.022585	0.0021498	0.0019613	0.02222	0.0091491	0.0015734	0.0011793	0.0086738	0.0025299	0.0033662
Output_1_27	1302836 179-4 - 7.d	13/09/2019 (6) 13:35:16.00	13/09/2019 (6)	13:35:16.00	35.036	1302836 179-4 - 7.d	7.75E+06	0.26E+06	7.18	0.11	8884	39	8987	45	9104	22	77040	410	76610	440	316.9	2.6	40.53	0.32	694.6	4.7	23.16	0.13	69.77	0.38	38.32	0.25	2.255	0.066	261.6	1.4	2.999	0.034	5.380	0.059	2.204	0.065	1.119	0.034	7.020	0.084	FILENAME: 1302836 179-4 - 7.csv	0	0.025378	0.041768	0.083449	0.47266	13.702	10.606	0.13682	0.077153	0.95847	0.021408	0.0017824	0.0037204	0.014613	0.0077098	0.0010243	0.00089543	0	0.0027113	0.0036992
Output_1_28	1302836 179-4 - 8.d	13/09/2019 (6) 13:36:54.00	13/09/2019 (6)	13:36:54.00	35.036	1302836 179-4 - 8.d	7.62E+06	0.26E+06	7.11	0.12	9044	62	8998	42	9143	25	76420	370	76020	440	296.3	3.4	40.11	0.28	688.6	4.6	23.53	0.14	68.25	0.33	36.16	0.30	3.09	0.11	257.5	1.3	2.982	0.033	5.244	0.041	2.202	0.071	1.049	0.027	7.064	0.076	FILENAME: 1302836 179-4 - 8.csv	0	0.027735	0.041333	0.098539	0.42548	13.359	12.194	0.12987	0.082758	1.2337	0.02594	0.0021306	0.0013846	0.020085	0.0079086	0.00091668	0.00053793	0.0035337	0.0021865	0.0034696
Output_1_29	1302836 179-4 - 9.d	13/09/2019 (6) 13:38:25.00	13/09/2019 (6)	13:38:25.00	35.036	1302836 179-4 - 9.d	7.41E+06	0.28E+06	7.12	0.14	9063	62	9022	48	9186	22	76750	440	76280	460	297.3	2.4	40.07	0.30	691.6	5.9	23.58	0.16	68.79	0.37	36.13	0.21	3.063	0.087	259.3	1.6	2.986	0.036	5.304	0.058	2.303	0.068	1.055	0.034	6.941	0.079	FILENAME: 1302836 179-4 - 9.csv	0	0.031044	0.041646	0.081788	0.49309	15.82	12.575	0.14425	0.071825	0.97895	0.02678	0.001477	0.0034426	0.015183	0.0081235	0.0011976	0.0011995	0.0044131	0.0013155	0.0033477
Output_1_30	1302836 179-4 - 10.d	13/09/2019 (6) 13:39:58.00	13/09/2019 (6)	13:39:58.00	35.036	1302836 179-4 - 10.d	7.62E+06	0.27E+06	7.00	0.11	8840	43	9016	40	9038	23	77360	400	76940	410	321.0	2.5	40.84	0.29	696.4	5.3	23.00	0.14	70.32	0.36	39.68	0.23	2.239	0.064	261.3	1.2	2.996	0.037	5.380	0.044	2.307	0.068	1.094	0.031	8.367	0.081	FILENAME: 1302836 179-4 - 10.csv	0	0.027669	0.045936	0.08849	0.43592	13.045	11.426	0.16347	0.090846	1.2369	0.027644	0.0014365	0.0023618	0.018033	0.010923	0.0007531	0.0014808	0.0025138	0.0027773	0.0029267
Output_1_31	1302733 656-1 - 1.d	13/09/2019 (6) 13:47:54.00	13/09/2019 (6)	13:47:54.00	35.036	1302733 656-1 - 1.d	8.09E+06	0.30E+06	6.78	0.10	25590	120	5133	22	3865	11	61130	260	61470	340	367.2	2.8	38.22	0.28	651.0	5.3	15.97	0.11	48.75	0.27	35.88	0.26	6.76	0.11	76.82	0.55	2.761	0.035	4.499	0.053	1.718	0.052	0.998	0.026	4.868	0.058	FILENAME: 1302733 656-1 - 1.csv	0	0.029227	0.041601	0.075657	0.37795	12.447	10.68	0.12186	0.081317	0.96421	0.02574	0.0025071	0.0018294	0.013699	0.0085263	0	0.00086271	0.0046317	0.0032295	0.0029874
Output_1_32	1302733 656-1 - 2.d	13/09/2019 (6) 13:49:38.00	13/09/2019 (6)	13:49:38.00	35.035	1302733 656-1 - 2.d	8.20E+06	0.28E+06	6.760	0.095	25480	120	5117	23	3873	11	60650	310	61130	370	363.3	2.4	38.32	0.29	656.8	5.3	16.05	0.11	48.34	0.27	35.39	0.23	6.83	0.11	76.72	0.61	2.757	0.033	4.522	0.042	1.807	0.046	1.024	0.030	5.011	0.048	FILENAME: 1302733 656-1 - 2.csv	0	0.032594	0.035101	0.079855	0.37872	12.094	10.395	0.14437	0.070133	1.1663	0.021023	0.0018369	0.0027766	0.016041	0.0060052	0.00096975	0.0012003	0.0032622	0.0016584	0.002254
Output_1_33	1302733 656-1 - 3.d	13/09/2019 (6) 13:51:07.00	13/09/2019 (6)	13:51:07.00	35.036	1302733 656-1 - 3.d	7.85E+06	0.28E+06	6.90	0.12	25470	110	5120	24	3885	10	60520	290	60840	340	356.0	2.7	38.37	0.28	654.9	5.1	16.15	0.11	48.11	0.28	37.14	0.20	6.69	0.10	76.40	0.57	2.837	0.039	4.536	0.048	1.793	0.050	1.038	0.034	4.922	0.062	FILENAME: 1302733 656-1 - 3.csv	0	0.029839	0.048022	0.079275	0.38811	12.996	12.236	0.14738	0.088679	1.0619	0.022948	0.0013855	0.0013334	0.016354	0.0076136	0.00088221	0.00051709	0	0.0021021	0.0028832
Output_1_34	1302733 656-1 - 4.d	13/09/2019 (6) 13:52:43.00	13/09/2019 (6)	13:52:43.00	35.036	1302733 656-1 - 4.d	7.60E+06	0.31E+06	6.85	0.13	25420	140	5109	29	3891	11	60260	400	60650	420	360.9	3.3	38.12	0.29	646.4	5.6	16.12	0.12	47.78	0.38	34.63	0.30	6.64	0.10	76.00	0.61	2.710	0.037	4.414	0.044	1.747	0.052	0.965	0.035	4.829	0.067	FILENAME: 1302733 656-1 - 4.csv	0	0.031859	0.049312	0.075981	0.49208	12.51	12.797	0.17035	0.082883	1.0457	0.022427	0.002312	0.0013777	0.015529	0.0078673	0.00074971	0.00053424	0.005436	0.0024891	0.0032369
Output_1_35	1302733 656-1 - 5.d	13/09/2019 (6) 13:54:16.00	13/09/2019 (6)	13:54:16.00	35.036	1302733 656-1 - 5.d	7.72E+06	0.31E+06	6.68	0.10	25450	120	5116	24	3871.1	8.6	60340	310	60790	340	361.0	2.7	37.94	0.31	648.7	5.0	16.15	0.11	48.09	0.28	34.94	0.30	6.83	0.11	76.24	0.60	2.703	0.035	4.486	0.047	1.769	0.052	0.946	0.033	4.941	0.057	FILENAME: 1302733 656-1 - 5.csv	0	0.030787	0.044908	0.082809	0.44428	12.456	12.824	0.14587	0.077285	1.2406	0.023617	0.001792	0.0023143	0.015361	0.0063676	0.00073772	0.0014492	0.0024639	0.0021366	0.0019969
Output_1_36	1302733 656-1 - 6.d	13/09/2019 (6) 13:55:55.00	13/09/2019 (6)	13:55:55.00	35.036	1302733 656-1 - 6.d	6.43E+06	0.30E+06	6.80	0.11	25900	110	5183	24	3762	16	61070	330	61460	370	364.0	3.2	38.10	0.33	659.3	6.2	15.41	0.15	48.86	0.29	36.27	0.26	6.77	0.12	77.58	0.71	2.807	0.036	4.584	0.047	1.815	0.067	0.986	0.033	4.715	0.067	FILENAME: 1302733 656-1 - 6.csv	0	0.033289	0.057067	0.098716	0.48467	15.347	13.996	0.12696	0.098506	1.5271	0.028004	0.001398	0.0016351	0.018552	0.0054707	0.00063375	0.0010824	0.0081941	0.0045854	0.0033441
Output_1_37	1302733 656-1 - 7.d	13/09/2019 (6) 13:57:24.00	13/09/2019 (6)	13:57:24.00	35.036	1302733 656-1 - 7.d	7.63E+06	0.31E+06	6.89	0.11	25560	130	5121	25	3882.8	9.8	60720	350	60780	350	363.2	3.6	38.02	0.29	650.4	5.2	16.00	0.12	48.27	0.30	36.04	0.23	6.73	0.10	76.50	0.64	2.677	0.034	4.479	0.052	1.826	0.054	0.983	0.032	4.732	0.061	FILENAME: 1302733 656-1 - 7.csv	0	0.029053	0.046132	0.087295	0.42608	13.943	9.5325	0.16708	0.074175	1.2236	0.025949	0.001643	0.0023538	0.017106	0.0064777	0.0011603	0.0011608	0.0035196	0.0036947	0.0023082
Output_1_38	1302733 656-1 - 8.d	13/09/2019 (6) 13:58:58.00	13/09/2019 (6)	13:58:58.00	35.035	1302733 656-1 - 8.d	7.70E+06	0.29E+06	6.94	0.12	25640	140	5142	26	3851	12	60750	350	60960	390	359.9	2.9	38.01	0.31	653.4	5.4	15.94	0.14	48.18	0.31	35.56	0.25	6.79	0.11	76.55	0.65	2.745	0.033	4.481	0.049	1.823	0.053	0.970	0.032	4.963	0.066	FILENAME: 1302733 656-1 - 8.csv	0	0.026317	0.042208	0.088266	0.42682	11.415	10.924	0.13467	0.083415	1.2447	0.023104	0.0016215	0.002662	0.014975	0.0098851	0.00074039	0.00074072	0.0042231	0.0024568	0.0022773
Output_1_39	1302733 656-1 - 9.d	13/09/2019 (6) 14:00:32.00	13/09/2019 (6)	14:00:32.00	35.036	1302733 656-1 - 9.d	7.59E+06	0.30E+06	6.90	0.10	25500	120	5125	24	3875	11	60250	350	60750	400	361.9	2.8	37.86	0.30	644.7	5.5	15.84	0.11	48.02	0.32	34.38	0.26	6.80	0.12	76.22	0.58	2.707	0.034	4.411	0.044	1.775	0.048	0.950	0.028	4.816	0.064	FILENAME: 1302733 656-1 - 9.csv	0	0.030191	0.040787	0.082974	0.42669	13.71	9.855	0.12382	0.086676	1.0302	0.02431	0.0016497	0.0023627	0.015658	0.0079072	0.00091576	0.0018323	0.0025169	0.0024989	0.0023164
Output_1_40	1302733 656-1 - 10.d	13/09/2019 (6) 14:02:11.00	13/09/2019 (6)	14:02:11.00	35.035	1302733 656-1 - 10.d	7.56E+06	0.29E+06	6.97	0.10	25560	130	5117	25	3839	11	60930	370	61280	340	367.7	3.1	38.17	0.29	655.0	5.9	15.94	0.13	48.35	0.30	36.62	0.26	6.85	0.12	77.06	0.73	2.719	0.041	4.507	0.045	1.820	0.059	1.039	0.029	4.976	0.069	FILENAME: 1302733 656-1 - 10.csv	0	0.028418	0.052869	0.071335	0.48123	13.378	10.226	0.11182	0.080599	1.1402	0.023115	0.001821	0.0013766	0.018768	0.0064693	0.00091086	0.0014716	0.0054365	0.0035015	0.002424
Output_1_41	1301624 590-25 - 1.d	13/09/2019 (6) 14:10:03.15	13/09/2019 (6)	14:10:03.15	14.608	1301624 590-25 - 1.d	8.92E+06	0.23E+06	3.86	0.11	27290	130	5787	32	710.5	3.1	60650	380	60440	450	245.2	3.5	79.96	0.63	532.6	6.5	2.033	0.067	31.47	0.28	70.9	1.1	0.853	0.044	36.11	0.55	2.755	0.053	4.614	0.079	2.44	0.11	1.712	0.054	5.100	0.092	FILENAME: 1301624 590-25 - 1.csv	0	0.030434	0.044125	0.097745	0.48403	14.569	14.14	0.1577	0.086445	1.1987	0.026765	0.0026635	0.0025696	0.020279	0	0.0016933	0.00058367	0.0038465	0.0030127	0.0025165
Output_1_42	1301624 590-25 - 2.d	13/09/2019 (6) 14:11:42.00	13/09/2019 (6)	14:11:42.00	35.036	1301624 590-25 - 2.d	7.75E+06	0.29E+06	4.103	0.094	26490	120	5622	24	725.3	2.2	58920	300	58800	320	237.8	2.2	77.65	0.43	523.1	4.6	2.150	0.039	30.56	0.19	55.84	0.40	0.881	0.039	35.78	0.39	2.674	0.034	4.549	0.041	2.465	0.060	1.405	0.035	5.088	0.057	FILENAME: 1301624 590-25 - 2.csv	0	0.033201	0.050794	0.087151	0.44987	12.919	12.784	0.14602	0.081092	1.0734	0.025825	0.0014039	0.0029295	0.020049	0.010663	0.00073399	0.0010237	0.0034482	0.0017459	0.0030436
Output_1_43	1301624 590-25 - 3.d	13/09/2019 (6) 14:13:16.00	13/09/2019 (6)	14:13:16.00	35.036	1301624 590-25 - 3.d	7.80E+06	0.27E+06	3.871	0.081	26490	130	5615	25	700.6	2.3	58900	310	58620	390	241.1	2.3	78.39	0.38	517.7	5.2	2.019	0.034	30.24	0.23	56.59	0.33	0.886	0.043	34.94	0.38	2.719	0.028	4.546	0.050	2.440	0.065	1.402	0.032	5.025	0.058	FILENAME: 1301624 590-25 - 3.csv	0	0.025676	0.049756	0.080884	0.37345	14.484	11.335	0.12329	0.087948	1.2646	0.019714	0.0014007	0.0029227	0.013654	0.006328	0.00089023	0.00073285	0.0053202	0.002693	0.0022493
Output_1_44	1301624 590-25 - 4.d	13/09/2019 (6) 14:14:55.00	13/09/2019 (6)	14:14:55.00	35.035	1301624 590-25 - 4.d	7.83E+06	0.27E+06	3.922	0.073	26550	130	5663	27	705.6	2.3	58940	340	58870	370	243.8	2.6	78.14	0.49	528.5	4.2	2.105	0.049	30.33	0.22	64.64	0.39	0.936	0.045	35.14	0.36	2.670	0.039	4.560	0.043	2.373	0.060	1.602	0.045	5.185	0.061	FILENAME: 1301624 590-25 - 4.csv	0	0.029961	0.040612	0.082768	0.40994	14.138	13.318	0.14534	0.070513	1.0092	0.026042	0.0013948	0.0018821	0.015037	0.010594	0.0012566	0.0011285	0.0041658	0.0034041	0.0024635
